0031sXqr2dM,108.005900
003bW5kHjZU,7.000000,0.049672,0.362687,0.158422,0.739706,14
003bW5kHjZU,7.000000,0.915410,0.424084,0.992019,0.743619,14
003bW5kHjZU,7.000000,0.915410,0.424084,0.992019,0.743619,80
003qyzi8e7Q,52.014633,0.296940,0.064921,0.587399,0.991280,14
00ai4tJQIHM,7.005000
00bYMWy5S7A,8.000000,0.438876,0.491880,0.525271,0.698892,17
00bYMWy5S7A,8.000000,0.438876,0.491880,0.525271,0.698892,3
00bYMWy5S7A,8.000000,0.692557,0.409143,0.778872,0.683814,14
00DHvWQnd3I,13.000000,0.245604,0.150609,0.849879,0.983165,11
00DHvWQnd3I,13.000000,0.245604,0.150609,0.849879,0.983165,54
00EMZGzlhek,25.018000,0.123071,0.000000,0.751889,0.979080,11
00EMZGzlhek,25.018000,0.123071,0.000000,0.751889,0.979080,17
00EMZGzlhek,25.018000,0.123071,0.000000,0.751889,0.979080,79
00EqZ4QGbRw,18.001000,0.100048,0.075235,0.597349,0.964753,12
00g1_FUd-Gc,34.000000,0.356732,0.360916,0.599144,0.991146,12
00g1_FUd-Gc,34.000000,0.356732,0.360916,0.599144,0.991146,17
00g1_FUd-Gc,34.000000,0.356732,0.360916,0.599144,0.991146,51
00hZ1kuCj4U,7.000000,0.453283,0.549793,0.514204,0.707846,11
00hZ1kuCj4U,7.000000,0.453283,0.549793,0.514204,0.707846,17
00I9M2Iy-IA,9.000000,0.394565,0.631113,0.652395,0.996576,14
00I9M2Iy-IA,9.000000,0.394565,0.631113,0.652395,0.996576,57
00I9M2Iy-IA,9.000000,0.558142,0.558851,0.725676,0.992909,14
00I9M2Iy-IA,9.000000,0.712436,0.518305,0.880936,0.989826,12
00I9M2Iy-IA,9.000000,0.867188,0.554688,0.998047,0.998698,12
00I9M2Iy-IA,9.000000,0.867188,0.554688,0.998047,0.998698,37
00jmqsCfaZM,5.000000,0.243208,0.153790,0.727203,0.542268,11
00jmqsCfaZM,5.000000,0.243208,0.153790,0.727203,0.542268,17
00jmqsCfaZM,5.000000,0.608676,0.018969,0.874165,0.393244,12
00jmqsCfaZM,5.000000,0.608676,0.018969,0.874165,0.393244,17
00k2U7zRpkI,6.000000,0.006093,0.000000,0.743480,0.986817,11
00k2U7zRpkI,6.000000,0.006093,0.000000,0.743480,0.986817,17
00k2U7zRpkI,6.000000,0.006093,0.000000,0.743480,0.986817,29
00Klr-1s1FY,36.024644,0.582027,0.288377,0.602749,0.402650,12
00Lty3r6JLE,72.004267
00Q90Fk4VlE,218.000000,0.019911,0.227098,0.594258,0.984080,41
00qYyk7o2xE,54.000000,0.059840,0.000000,0.788638,0.987534,14
00qYyk7o2xE,54.000000,0.059840,0.000000,0.788638,0.987534,79
00Rm9LTOdGs,103.029267,0.371493,0.001653,0.566292,0.727558,12
00Rm9LTOdGs,103.029267,0.371493,0.001653,0.566292,0.727558,20
00ROLZS2Z80,116.000000,0.418735,0.026288,0.569834,0.819607,12
00ROLZS2Z80,116.000000,0.418735,0.026288,0.569834,0.819607,17
00ROLZS2Z80,116.000000,0.418735,0.026288,0.569834,0.819607,80
00RS_1vCHm4,113.027300,0.038886,0.044370,0.975813,0.931465,11
00rtry4LqmE,54.014633,0.336747,0.097968,0.969985,0.968620,11
00rtry4LqmE,54.014633,0.336747,0.097968,0.969985,0.968620,27
00s3PpXPGSM,552.006789,0.000000,0.000000,0.798470,0.996580,12
00s3PpXPGSM,552.006789,0.000000,0.000000,0.798470,0.996580,79
00tc57Mu23M,116.010900
010xX8o7YV0,29.000000,0.381275,0.260868,0.584053,0.476792,20
010xX8o7YV0,29.000000,0.780459,0.747076,0.814572,0.926314,12
010xX8o7YV0,29.000000,0.890899,0.733975,0.928408,0.905148,12
010xX8o7YV0,29.000000,0.890899,0.733975,0.928408,0.905148,80
0142bU1ef5A,32.000000,0.866211,0.116211,0.923828,0.229492,12
0-170t2sK0w,172.040878,0.536631,0.477457,0.660500,0.972942,12
0-170t2sK0w,172.040878,0.536631,0.477457,0.660500,0.972942,17
01AWF8TdEb8,4.000000
01BFInmg3Zs,8.000000,0.338283,0.053014,0.982995,0.871749,11
01Bp7-nCijA,4.003000,0.296688,0.254812,0.616504,0.910058,2
